subject_id	O14625	O43508	O95760	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
61	783.52411	369.2905		437.62243	4.13574	9.24139	10.27277	0.4933	0.19642	85.83895	3868.84801		1.49541	141.11747	121.71549	5.85913	4.24326	1.27692	57.49678	230.81941	1.05276	90.69664	280.66354	5.81158		207.8169	9.3934	217.13012	114.29318	242.01745	205.61777	78.16996	21.8887	2.7835	64.22291	210.28571	1.81008	6.55287		0.49927	204.93315	123.27815	17.55174
62	184.77913	379.55253		152.2933	4.14471	6.64753	8.76891	0.16517		53.65498	1201.49035		0.73934	101.97705	52.39312	2.65723	2.43025	0.48064	32.17971	219.29786	1.45643	123.45699	167.57629	2.68258		217.11977	10.59462	430.5954	113.76013	340.8268	156.47394	82.17576	6.45627	1.0053	18.66426	159.43566	0.54936	3.64234			118.36119	112.19086	17.93015
63	462.73671	398.56836		62.08084	5.55673	14.63557	12.36533	0.17945		76.19054	510.52273		1.15531	120.8787	66.60432	3.61371	4.20563	1.4414	40.87916	269.82146	0.88423	106.02546	158.6693	5.14141		215.36338	11.86342	174.57172	92.72289	367.19523	271.54259	83.3428	39.80021	2.02266	66.75028	169.75582	0.22499	5.27896		0.98814	378.19357	424.84952	24.34395
64	401.80721	328.93528		139.48639	3.02214	7.96248	10.28345	0.54647		56.00186	441.62748		1.44243	119.38009	46.78589	4.3589	3.19343	0.56633	54.66986	437.16777	1.02729	95.25684	187.21702	9.48493		218.00764	11.19807	134.26064	137.15368	453.655	281.82637	66.12485	30.16714	1.22331	45.44634	114.38926	1.14424	4.92109			191.07868	69.18781	17.64901
65	592.35747	375.35565		173.35905	5.38208	11.42741	15.0769	0.31422		55.80011	524.54192		1.65278	143.80792	32.30898	6.5436	4.94215	0.58433	78.69349	311.90315	3.05965	145.73159	213.3211	9.87417		235.80924	6.66545	194.12546	74.47283	466.71241	337.92888	199.18996	59.30761	1.6687	57.27104	280.77102	0.6192	1.66			653.40113	193.62229	9.7101
66	97.65627	289.54611	0.49593	174.3607	4.70967	4.21046	12.97784	0.31697		77.22316	1043.05435		7.64064	121.26194	294.18202	7.88346	5.31747	0.67626	64.09478	239.99611	2.32555	169.39879	257.74418	4.66321		210.89867	14.37509	154.45583	158.14177	402.46517	54.42296	82.71733	35.95712	0.54376	43.56674	212.00604	0.87208	5.21462		0.57317	73.33313	94.45236	17.33533
67	328.88935	280.34017		84.5227	4.33586	7.28535	9.04162	0.20504		83.36757	570.8409		4.96275	116.08869	374.50639	4.91424	4.68246	0.8643	71.54621	261.87044	2.67965	110.03867	202.12526	5.48619		189.58698	10.9784	123.04105	73.96079	347.80716	217.14693	80.55105	43.53786	4.49243	41.86949	260.12892		4.95165			333.41189	83.4436	8.58688
68	452.70203	256.1786		50.7147	6.65763	7.33923	12.71669	0.19507		85.33596	766.10695		2.8145	119.35042	63.24373	11.2361	5.55986	0.34038	79.17849	369.92232	4.50251	220.74469	215.62745	8.01499		504.91051	11.66594	125.79799	111.86107	295.96127	312.33641	274.22724	26.48221	5.13684	57.61841	238.01489	0.30025	3.20349		1.04153	598.59921	114.53001	9.89598
69	492.15972	329.13359		99.23531	4.72468	8.96675	12.68201	0.06732		84.53034	463.46145		1.72924	114.66092	68.12115	3.59643	3.35026	0.52097	60.21918	295.48357	2.07803	118.92461	155.05867	3.67381		178.2568	12.52365	181.75293	97.18932	373.82535	254.35724	96.70281	19.8777	1.94563	77.39181	236.14149	0.75077	3.69136			285.07915	102.45567	10.21045
70	384.7614	342.65015		89.56137	4.02519	9.36813	8.71331	0.19242		64.86105	440.45191		0.7922	118.34994	41.07335	2.71803	2.78816	0.53627	28.84582	275.28899	0.72868	106.63958	152.1193	4.97401		137.6369	9.99901	146.55506	84.38562	474.57721	258.09776	52.81356	41.92392	1.64087	31.35687	181.83742	3.69061	2.79864		0.5348	515.1474	63.48131	20.50349
71	508.25254	285.50047		237.37856	4.80221	5.5905	13.1705	0.8456		90.31549	222.86858		1.10439	172.39239	106.25083	3.58956	8.907	2.12323	730.47981	278.45953	1.55371	102.86568	232.32948	6.89276		199.16297	9.70097	127.97417	88.16211	295.96127	194.99541	62.11818	53.57008	0.81216	92.29776	228.08558	0.33614	7.66319		0.92365	262.23071	159.71487	16.65092
72	337.93697	291.32357		94.40056	4.95086	9.98471	12.99086	0.17292		54.20621	886.0869		7.0789	125.12143	169.438	3.81482	3.39965	0.48905	43.82036	218.7442	1.35064	127.46084	176.53431	6.35039	2.50792	172.51564	7.83684	199.0171	85.10528	298.60567	239.08105	59.74745	18.53756	1.13555	34.56303	170.1698	0.53249	3.42198		0.73111	359.19995	69.48775	6.99843
73	304.69364	212.754		186.74913	3.96534	8.53441	8.9484	0.15703		63.21584	590.02614		0.92396	133.63139	63.75335	3.5445	3.65824	0.61209	49.59365	193.29778	0.48702	67.66733	200.43632	3.47439		167.18329	10.35214	115.4372	87.30745	262.15858	173.63117	26.55268	15.52449	1.32575	37.73263	157.13584	0.39908	4.09375		0.31196	140.78793	87.12115	9.29285
74	415.58643	431.07697	0.49653	52.26664	4.19253	7.97611	8.30662	0.36116		68.56931	297.30889		1.21362	109.16934	85.64161	4.83957	3.38224	0.63083	60.24221	323.58856	0.64797	91.63427	136.80043	6.85509		214.82795	6.87499	147.82663	117.72251	406.71853	338.64854	29.18863	11.54474	2.10485	69.05146	248.32554	0.37715	4.97553		0.46014	620.19769	136.1755	14.92712
